joint_number,J. len [ft],Wt [in],dist_to_us_weld,dist_to_ds_weld,distance_along_line,feature_type,ID/OD,depth_percent,Depth [in],OD Reduction [%],OD Reduction [in],Comments,Anomalies per Joint,Tool Velocity [ft/s],Elevation [ft],Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),MOP [PSI],SMYS [PSI],Seam Type,Pdesign [PSI],B31G Psafe [PSI],B31G Pburst [PSI],Mod B31G Psafe [PSI],Mod B31G Pburst [PSI],Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR,run_year,row_index,distance_raw_m,dist_to_us_weld_m,clock_position_deg,length_mm,width_mm,distance_corrected_m
2960.0,,0.344,-39.35,0.85,10595.49,metal loss,External,50.0,0.172,,,Recoat,,0.7,153.39,,MFL-A/XT,,1160.0,65000.0,,1342.0,1460.73,2028.18,1529.6,2123.82,1532.8,2128.26,0.76,1.83,2015,369,3229.505352,-11.99388,113.5,17.018,55.117999999999995,3229.505352
2970.0,,0.344,-0.8,39.25,10597.14,metal loss,External,11.0,0.038,,,Recoat,,0.7,153.39,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,371,3230.008272,-0.24384000000000003,158.0,13.97,48.00599999999999,3230.008272
2970.0,,,,,10630.49,Tap,,,,,,,,,153.23,,,,,,,,,,,,,,,,2015,373,3240.1733520000002,,0.0,,,3240.1733520000002
2970.0,,,,,10632.49,Tap,,,,,,,,,153.22,,,,,,,,,,,,,,,,2015,374,3240.782952,,0.0,,,3240.782952
3630.0,,0.344,-1.07,38.98,13156.18,metal loss,External,23.0,0.079,,,,,0.7,258.08,,MFL-A/XT,,1160.0,65000.0,,1342.0,1470.75,2042.1,1542.46,2141.67,1542.92,2142.31,0.75,1.85,2015,450,4010.0036640000003,-0.32613600000000004,104.5,17.018,33.019999999999996,4010.0036640000003
3680.0,,0.344,-39.2,0.96,13394.44,metal loss,External,10.0,0.034,,,,,0.7,164.89,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,456,4082.6253120000006,-11.948160000000001,182.5,16.002,30.987999999999996,4082.6253120000006
3680.0,,0.344,-39.2,0.96,13394.44,metal loss,External,25.0,0.086,,,,,0.7,164.89,,MFL-A/XT,,1160.0,65000.0,,1342.0,1469.31,2040.1,1540.82,2139.39,1541.49,2140.32,0.75,1.84,2015,457,4082.6253120000006,-11.948160000000001,51.5,18.034,82.042,4082.6253120000006
3750.0,,0.344,-35.12,2.34,13645.56,metal loss,External,11.0,0.038,,,,,0.7,243.92,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,467,4159.166688,-10.704576,110.0,18.034,37.083999999999996,4159.166688
3750.0,,0.344,-35.3,2.16,13645.75,metal loss,External,16.0,0.055,,,,,0.7,243.92,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.66,2046.14,,,,,,,2015,468,4159.2246000000005,-10.75944,159.5,13.97,25.907999999999998,4159.2246000000005
3810.0,,0.344,-21.23,18.88,13852.54,metal loss,External,10.0,0.034,,,,,0.7,214.81,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,475,4222.254192,-6.470904000000001,48.0,9.906,14.985999999999999,4222.254192
4080.0,,0.344,-12.05,17.57,14753.1,metal loss,External,19.0,0.065,,,,,0.7,41.27,,MFL-A/XT,,1160.0,65000.0,,1342.0,1471.68,2043.39,,,,,,,2015,511,4496.74488,-3.6728400000000003,77.5,17.018,27.94,4496.74488
4080.0,,0.344,-12.86,16.76,14753.91,metal loss,External,12.0,0.041,,,,,0.7,41.2,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,514,4496.991768,-3.919728,69.5,11.937999999999999,23.875999999999998,4496.991768
4140.0,,0.344,-7.02,12.17,14909.43,metal loss,External,11.0,0.038,,,,,1.0,40.26,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,523,4544.3942640000005,-2.139696,71.0,17.018,29.971999999999998,4544.3942640000005
4150.0,,0.344,-10.59,25.78,14932.19,metal loss,External,27.0,0.093,,,,,0.7,41.6,,MFL-A/XT,,1160.0,65000.0,,1342.0,1471.53,2043.19,1543.28,2142.81,1543.8,2143.52,0.75,1.85,2015,525,4551.331512000001,-3.2278320000000003,39.0,13.97,33.019999999999996,4551.331512000001
4150.0,,0.344,-13.1,23.28,14934.69,metal loss,External,14.0,0.048,,,,,0.7,41.8,,MFL-A/XT,,1160.0,65000.0,,1342.0,1455.61,2021.08,,,,,,,2015,526,4552.093512,-3.99288,23.5,48.00599999999999,55.117999999999995,4552.093512
4150.0,,0.344,-23.54,12.84,14945.13,metal loss,External,36.0,0.124,,,,,0.7,42.43,,MFL-A/XT,,1160.0,65000.0,,1342.0,1468.62,2039.14,1539.77,2137.93,1540.91,2139.52,0.75,1.84,2015,527,4555.275624,-7.1749920000000005,32.0,14.985999999999999,32.004,4555.275624
4150.0,,0.344,-23.73,12.64,14945.33,metal loss,External,44.0,0.151,,,,,0.7,42.43,,MFL-A/XT,,1160.0,65000.0,,1342.0,1461.98,2029.92,1531.57,2126.55,1534.16,2130.14,0.76,1.83,2015,528,4555.336584000001,-7.232904,39.0,18.034,35.05199999999999,4555.336584000001
4160.0,,0.5,-2.12,0.75,14960.09,metal loss,External,19.0,0.095,,,,,0.7,42.53,,MFL-A/XT,,1160.0,60000.0,,1800.0,1951.48,2710.39,,,,,,,2015,530,4559.835432,-0.6461760000000001,202.5,48.00599999999999,14.985999999999999,4559.835432
4160.0,,0.5,-2.7,0.17,14960.67,metal loss,External,10.0,0.05,,,near girth weld,,0.7,42.54,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,531,4560.012216,-0.8229600000000001,143.0,19.049999999999997,81.026,4560.012216
4160.0,,0.5,-2.86,0.01,14960.83,metal loss,External,10.0,0.05,,,affecting girth weld,,0.7,42.54,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,532,4560.060984000001,-0.8717280000000001,160.5,33.019999999999996,86.868,4560.060984000001
