weld_uid_prev,weld_uid_later,distance_prev_m,distance_later_m,segment_id,scale,offset,segment_length_prev_m,segment_length_later_m,align_flag
W61,W61,522.628368,440.1610704,61,7.923443078143317,-2964.9628185290335,12.176759999999945,1.5368016000000466,
W62,W62,534.805128,441.6978720000001,62,16.028000000000027,-6544.728364416013,12.213336000000027,0.7620000000000005,
W63,W63,547.018464,442.4598720000001,63,0.9845559845559866,111.39194909652412,8.238743999999997,8.36797919999998,
W64,W64,555.257208,450.82785120000005,64,0.9954256165473404,106.49161626252732,12.204192000000035,12.260275199999967,
W65,W65,567.4614,463.0881264,65,0.9984255117087008,105.10240043285648,12.176760000000058,12.195962399999985,
W66,W66,579.6381600000001,475.2840888,66,0.9665945327463076,120.23115826460952,11.844527999999968,12.25387440000003,
W67,W67,591.482688,487.53796320000004,67,0.9970878861039877,105.36449087746826,12.210287999999991,12.245949600000017,
W68,W68,603.692976,499.78391280000005,68,0.9984811135180925,104.66817822902675,12.222480000000019,12.241072799999984,
W69,W69,615.9154560000001,512.0249856,69,0.9986548425667608,104.57922461538402,12.219431999999983,12.235891199999969,
W70,W70,628.134888,524.2608768,70,0.9988044236325513,104.50080511468002,12.222479999999905,12.237110400000006,
W71,W71,640.357368,536.4979872,71,0.9980284010082641,104.91713969063187,12.188952000000086,12.213031200000046,
W72,W72,652.54632,548.7110184000001,72,3.126122608356113,-1062.7916000743471,12.201144,3.902963999999997,
W73,W73,664.747464,552.6139824,73,2.77885682574916,-870.8876729966662,12.210287999999878,4.393996799999968,
W74,W74,676.9577519999999,557.0079792,74,0.9963985594237726,121.95580393757314,12.143232000000125,12.187123200000087,
W75,W75,689.100984,569.1951024000001,75,0.99659008885681,121.84678632232283,12.20419199999992,12.245949599999904,
W76,W76,701.305176,581.441052,76,0.26786864133934557,545.5553513818402,3.1699200000000474,11.833860000000072,
W77,W77,704.475096,593.2749120000001,77,0.9965191447041242,113.26528811934543,12.216383999999948,12.259055999999987,
W78,W78,716.69148,605.5339680000001,78,0.3630140408734469,496.87414739018743,4.428744000000165,12.199924799999962,
W79,W79,721.1202240000001,617.7338928,79,0.594162612925646,354.0858401612212,7.29691200000002,12.281001599999968,
W80,W80,728.4171360000001,630.0148944,80,1.0004247557654173,98.13463914130489,12.20419199999992,12.199010400000134,
W81,W81,740.6213280000001,642.2139048000001,81,0.9930733136373807,102.85583749626255,12.192000000000007,12.27703919999999,
W82,W82,752.8133280000001,654.4909440000001,82,1.0005994604855717,97.93004254090738,12.210287999999991,12.202972799999884,
W83,W83,765.0236160000001,666.6939168,83,0.9951287404314556,101.57733832150234,12.204192000000035,12.26393280000002,
W84,W84,777.2278080000001,678.9578496,84,1.0046898904020207,95.08572049778434,12.210287999999991,12.15329040000006,
W85,W85,789.4380960000001,691.1111400000001,85,0.9937734117238417,102.63022052184635,12.210287999999878,12.286792799999944,
W86,W86,801.648384,703.3979328,86,3.8818851823120055,-1928.861628605216,12.201144000000113,3.143097599999919,
W87,W87,813.8495280000001,706.5410304,87,1.277186045028369,-88.53481626684447,12.207239999999956,9.557918400000062,
W88,W88,826.056768,716.0989488,88,24.05518896220609,-16399.838761021143,12.222480000000019,0.5081016000000318,
W89,W89,838.279248,716.6070504,89,5.550477773161737,-3139.2322573361926,12.216384000000062,2.2009607999999616,
W90,W90,850.4956320000001,718.8080112,90,2.636842105263132,-1044.887597532613,12.216383999999948,4.6329600000000255,
W91,W91,862.7120160000001,723.4409712,91,1.688628804782567,-358.9112465281954,12.225528000000054,7.239914399999975,
W92,W92,874.9375440000001,730.6808856,92,0.20113293239837043,727.9735548318339,2.4566879999999855,12.214250400000083,
W93,W93,877.3942320000001,742.8951360000001,93,0.7748665093753863,301.7496711357272,9.509759999999915,12.272771999999918,
W94,W94,886.903992,755.167908,94,0.9990756239538335,132.43414312498885,12.188952000000086,12.200229600000057,
W95,W95,899.0929440000001,767.3681376000001,95,0.9938427925914883,136.44965118188657,12.201143999999886,12.276734399999896,
W96,W96,911.294088,779.644872,96,0.9917211111665172,138.10380922488298,12.121895999999992,12.223089600000094,
W97,W97,923.415984,791.8679616000001,97,0.9946343402225801,135.7969164705845,12.204192000000035,12.270028799999977,
W98,W98,935.620176,804.1379904,98,0.9977052778609157,133.3274588494496,12.192000000000007,12.220041600000059,
W99,W99,947.812176,816.3580320000001,99,0.9564784879383306,166.9832799363287,11.722608000000037,12.256007999999952,
W100,W100,959.5347840000001,828.61404,100,0.9994512620971832,131.3754359305542,12.213336000000027,12.220041599999945,
W101,W101,971.7481200000001,840.8340816,101,0.9971913603260921,133.2756383607557,12.228575999999975,12.263018400000078,
W102,W102,983.9766960000001,853.0971000000001,102,1.0008498725191246,130.15457221856514,12.20419199999992,12.193828799999892,
W103,W103,996.180888,865.2909288,103,0.9968413460342677,133.6231138237664,12.216384000000062,12.255093600000123,
W104,W104,1008.397272,877.5460224000001,104,4.595183486238673,-3024.0877185469126,12.213336000000027,2.6578559999999243,
W105,W105,1020.6106080000001,880.2038784,105,1.2987391825754393,-122.54465753294733,12.21333600000014,9.403994400000101,
W106,W106,1032.8239440000002,889.6078728000001,106,0.993681080411341,148.83743181366128,12.222479999999905,12.300204000000008,
W107,W107,1045.0464240000001,901.9080768000001,107,1.0014256058825035,141.85258174023647,12.20419199999992,12.18681839999988,
W108,W108,1057.250616,914.0948952,108,1.002475557000337,140.89282678321536,12.219432000000097,12.189256799999953,
W109,W109,1069.4700480000001,926.284152,109,1.0020986358866626,141.24196283736615,12.22552799999994,12.199924800000076,
W110,W110,1081.695576,938.4840768,110,0.9958413228079808,147.11435152526144,12.188951999999972,12.239853599999947,
W111,W111,1093.884528,950.7239304,111,1.0410488528172341,104.13447091118815,12.198096000000078,11.717121600000041,
W112,W112,1106.0826240000001,962.441052,112,0.995451495041374,148.01923989740737,12.207239999999956,12.263018400000078,
W113,W113,1118.289864,974.7040704000001,113,0.9993504222255664,144.2189397007818,12.192000000000007,12.199924799999849,
W114,W114,1130.481864,986.9039951999999,114,0.8607462945951883,281.00790701041274,10.567415999999866,12.27703919999999,
W115,W115,1141.04928,999.1810343999999,115,0.987411192820644,154.44674297933102,12.073128000000224,12.227052000000185,
W116,W116,1153.1224080000002,1011.4080864000001,116,0.9917252997720689,150.08342032306552,12.201143999999886,12.302947199999949,
W117,W117,1165.323552,1023.7110336000001,117,0.9997753313862102,141.84251413884022,12.207239999999956,12.209983199999897,
W118,W118,1177.530792,1035.9210168,118,0.9947058384907819,147.09410837373275,12.198096000000078,12.263018400000192,
W119,W119,1189.728888,1048.1840352000002,119,1.0009253932921374,140.5748703249003,12.19809599999985,12.186818399999993,
W120,W120,1201.926984,1060.3708536000001,120,0.995700047224917,146.11567499455418,12.210287999999991,12.263018399999964,
W121,W121,1214.137272,1072.633872,121,1.0004993757802805,140.96775262321466,12.213336000000027,12.207239999999956,
W122,W122,1226.350608,1084.841112,122,0.993884170648978,148.14419911396476,12.234672000000046,12.309957599999962,
W123,W123,1238.58528,1097.1510696,123,0.6996408260999816,470.9735993085776,8.549640000000181,12.220041600000059,
W124,W124,1247.1349200000002,1109.3711112,124,0.9973668521462447,140.68494696047446,12.237719999999854,12.270028800000091,
W125,W125,1259.37264,1121.6411400000002,125,1.0016752931763029,135.85242225189722,12.210287999999991,12.189866400000028,
W126,W126,1271.582928,1133.8310064000002,126,1.1474657023133186,-29.449264063393002,12.185904000000164,10.619841599999972,
W127,W127,1283.7688320000002,1144.4508480000002,127,1.0079943509948752,130.1688422247055,12.182855999999902,12.086234399999967,
W128,W128,1295.951688,1156.5370824000001,128,0.9930715935334886,147.4275646004603,12.188951999999972,12.273991199999955,
W129,W129,1308.14064,1168.8110736,129,1.0001750306303585,139.12498866101782,12.192000000000007,12.189866400000028,
W130,W130,1320.33264,1181.0009400000001,130,0.9952005570337914,144.99984665456873,12.19809599999985,12.256922399999894,
W131,W131,1332.530736,1193.2578624,131,0.9988257925900106,140.6740058240582,12.185904000000164,12.200229600000057,
W132,W132,1344.71664,1205.458092,132,0.9919730452878688,148.93470551185624,12.20419199999992,12.302947200000062,
W133,W133,1356.920832,1217.7610392000001,133,0.9982779705008921,141.25681323236654,12.192000000000007,12.213031199999932,
W134,W134,1369.112832,1229.9740704,134,0.9903489235337778,151.00933540490087,12.19809599999985,12.31696799999986,
W135,W135,1381.3109279999999,1242.2910384,135,1.4212693454493812,-384.31924300440005,12.204192000000148,8.586825600000111,
W136,W136,1393.51512,1250.877864,136,0.991522482772295,153.2415946418148,12.192000000000007,12.29624160000003,
W137,W137,1405.70712,1263.1741056,137,0.9984527849870278,144.48741634018188,12.195048000000043,12.213945599999988,
